,Codi_Barri,Codi_Districte,AEB,Seccio_Censal,Valor,SEXE
93,21,4.0,88.85714285714286,4053.0,11864.0,1.5
94,22,5.0,91.66666666666667,5002.0,4641.0,1.5
95,23,5.0,95.0625,5011.5,24810.0,1.5
96,24,5.0,98.36363636363636,5025.0,16486.0,1.5
97,25,5.0,102.05555555555556,5039.5,25761.0,1.5
98,26,5.0,107.19354838709677,5064.0,47156.0,1.5
99,27,5.0,111.89473684210526,5089.0,29318.0,1.5
100,28,6.0,115.18181818181819,6006.636363636364,15629.0,1.5
101,29,6.0,118.0,6015.0,7391.0,1.5
102,30,6.0,119.6,6022.5,13123.0,1.5
103,31,6.0,125.5,6045.5,50670.0,1.5
104,32,6.0,132.48,6076.0,34275.0,1.5
105,33,7.0,135.89473684210526,7010.0,25563.0,1.5
106,34,7.0,138.0,7023.0,8969.0,1.5
107,35,7.0,140.96,7039.0,36176.0,1.5
108,36,7.0,144.57142857142858,7055.0,9402.0,1.5
109,37,7.0,147.36363636363637,7069.5,31377.0,1.5
110,38,7.0,149.0,7084.5,11281.0,1.5
111,39,7.0,150.0,7091.0,6695.0,1.5
112,40,7.0,151.0,7095.5,5053.0,1.5
113,41,7.0,152.0,7099.5,5687.0,1.5
114,42,7.0,153.0,7102.0,590.0,1.5
115,43,7.0,154.8095238095238,7113.0,26597.0,1.5
116,44,8.0,158.3684210526316,8010.0,25522.0,1.5
117,45,8.0,162.0,8028.5,24567.0,1.5
118,46,8.0,164.4,8042.5,15334.0,1.5
119,47,8.0,166.0,8048.5,2255.0,1.5
120,48,8.0,167.36363636363637,8069.090909090909,15050.0,1.5
121,49,8.0,169.0,8062.0,6925.0,1.5
122,50,8.0,170.5,8069.5,15410.0,1.5
123,51,8.0,172.625,8078.5,12261.0,1.5
124,52,8.0,175.7,8092.5,26184.0,1.5
125,53,8.0,178.0,8105.0,7259.0,1.5
126,54,8.0,179.0,8108.5,2795.0,1.5
127,55,8.0,180.0,8112.5,10055.0,1.5
128,56,8.0,181.0,8116.0,1354.0,1.5
129,57,9.0,182.0,9003.0,10048.0,1.5
130,58,9.0,183.0,9006.5,2511.0,1.5
131,59,9.0,184.71428571428572,9011.42857142857,12594.0,1.5
132,60,9.0,189.23076923076923,9035.0,56695.0,1.5
133,61,9.0,194.5,9068.6,28804.0,1.5
