,Codi_Barri,Any,Codi_Districte,Seccio_Censal,Index_Gini
345,54,2019.0,8.0,108.5,30.55
346,55,2019.0,8.0,112.5,31.416666666666668
347,56,2019.0,8.0,116.0,30.1
348,57,2019.0,9.0,3.0,31.24
349,58,2019.0,9.0,6.5,29.700000000000003
350,59,2019.0,9.0,11.428571428571429,28.571428571428573
351,60,2019.0,9.0,35.0,27.835897435897433
352,61,2019.0,9.0,68.6,28.839999999999996
353,62,2019.0,9.0,78.0,30.022222222222222
354,63,2019.0,9.0,89.0,30.23846153846154
355,64,2019.0,10.0,13.0,31.208000000000002
356,65,2019.0,10.0,45.294117647058826,29.858823529411765
357,66,2019.0,10.0,46.0,31.400000000000002
358,67,2019.0,10.0,53.0,33.82
359,68,2019.0,10.0,65.5,31.915
360,69,2019.0,10.0,123.0,32.0
361,70,2019.0,10.0,87.0,30.27692307692308
362,71,2019.0,10.0,110.5,29.816666666666666
363,72,2019.0,10.0,113.5,27.65
364,73,2019.0,10.0,133.0,27.133333333333333
