,Codi_Barri,Any,Mes,Codi_Districte,Població_16_64_anys,Pes_atur
234,16,2018.0,6.5,3.0,12230.0,6.733333333333333
235,17,2018.0,6.5,3.0,15846.0,5.491666666666667
236,18,2018.0,6.5,3.0,27531.0,6.066666666666666
237,19,2018.0,6.5,4.0,28255.0,5.966666666666666
238,20,2018.0,6.5,4.0,14546.0,5.916666666666667
239,21,2018.0,6.5,4.0,7068.0,3.0749999999999997
240,22,2018.0,6.5,5.0,3078.0,2.983333333333333
241,23,2018.0,6.5,5.0,14988.0,3.141666666666667
242,24,2018.0,6.5,5.0,10016.0,3.5500000000000003
243,25,2018.0,6.5,5.0,15689.0,3.525
244,26,2018.0,6.5,5.0,29571.0,3.4916666666666667
245,27,2018.0,6.5,5.0,18879.0,4.875
246,28,2018.0,6.5,6.0,9886.0,5.991666666666667
247,29,2018.0,6.5,6.0,4875.0,5.058333333333334
248,30,2018.0,6.5,6.0,8192.0,6.2749999999999995
249,31,2018.0,6.5,6.0,34562.0,5.7250000000000005
250,32,2018.0,6.5,6.0,22106.0,5.683333333333334
251,33,2018.0,6.5,7.0,16411.0,5.933333333333334
252,34,2018.0,6.5,7.0,5858.0,6.291666666666667
253,35,2018.0,6.5,7.0,23768.0,6.566666666666666
254,36,2018.0,6.5,7.0,5801.0,8.258333333333333
255,37,2018.0,6.5,7.0,20223.0,8.075000000000001
256,38,2018.0,6.5,7.0,7614.0,6.591666666666666
257,39,2018.0,6.5,7.0,4338.0,7.0
258,40,2018.0,6.5,7.0,3018.0,7.283333333333334
259,41,2018.0,6.5,7.0,3499.0,6.683333333333334
260,42,2018.0,6.5,7.0,464.0,3.533333333333333
261,43,2018.0,6.5,7.0,16500.0,8.333333333333334
262,44,2018.0,6.5,8.0,15978.0,7.941666666666666
263,45,2018.0,6.5,8.0,15816.0,7.733333333333333
264,46,2018.0,6.5,8.0,9892.0,8.066666666666666
265,47,2018.0,6.5,8.0,1408.0,7.916666666666667
266,48,2018.0,6.5,8.0,8874.0,10.325000000000001
267,49,2018.0,6.5,8.0,4192.0,10.641666666666667
268,50,2018.0,6.5,8.0,10354.0,9.35
269,51,2018.0,6.5,8.0,7921.0,9.375
270,52,2018.0,6.5,8.0,16301.0,8.408333333333333
271,53,2018.0,6.5,8.0,4871.0,12.983333333333334
272,54,2018.0,6.5,8.0,1965.0,8.875
273,55,2018.0,6.5,8.0,6921.0,13.15
274,56,2018.0,6.5,8.0,877.0,12.075000000000001
275,57,2018.0,6.5,9.0,6687.0,12.641666666666666
276,58,2018.0,6.5,9.0,1675.0,6.966666666666666
277,59,2018.0,6.5,9.0,8151.0,8.125
278,60,2018.0,6.5,9.0,36671.0,7.308333333333334
279,61,2018.0,6.5,9.0,18483.0,6.675
280,62,2018.0,6.5,9.0,9078.0,6.6000000000000005
281,63,2018.0,6.5,9.0,14065.0,6.591666666666666
282,64,2018.0,6.5,10.0,25043.0,7.116666666666667
283,65,2018.0,6.5,10.0,18027.0,6.741666666666667
284,66,2018.0,6.5,10.0,10425.0,5.666666666666667
285,67,2018.0,6.5,10.0,6470.0,6.041666666666667
286,68,2018.0,6.5,10.0,22694.0,5.925
287,69,2018.0,6.5,10.0,8864.0,7.033333333333334
288,70,2018.0,6.5,10.0,15685.0,9.125
289,71,2018.0,6.5,10.0,13932.0,6.941666666666666
290,72,2018.0,6.5,10.0,16071.0,8.433333333333334
291,73,2018.0,6.5,10.0,17461.0,8.791666666666666
292,1,2019.0,6.5,1.0,36405.0,8.466666666666667
293,2,2019.0,6.5,1.0,15462.0,5.55
