"Anys_Periode","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Nombre"
"2010-2014",7,"Horta-Guinardó",36,"la Font d'en Fargues",475
"2010-2014",7,"Horta-Guinardó",37,"el Carmel",1243
"2010-2014",7,"Horta-Guinardó",38,"la Teixonera",480
"2010-2014",7,"Horta-Guinardó",39,"Sant Genís dels Agudells",393
"2010-2014",7,"Horta-Guinardó",40,"Montbau",563
"2010-2014",7,"Horta-Guinardó",41,"la Vall d'Hebron",267
"2010-2014",7,"Horta-Guinardó",42,"la Clota",32
"2010-2014",7,"Horta-Guinardó",43,"Horta",1456
"2010-2014",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",1387
"2010-2014",8,"Nou Barris",45,"Porta",1159
"2010-2014",8,"Nou Barris",46,"el Turó de la Peira",871
"2010-2014",8,"Nou Barris",47,"Can Peguera",136
"2010-2014",8,"Nou Barris",48,"la Guineueta",809
"2010-2014",8,"Nou Barris",49,"Canyelles",308
"2010-2014",8,"Nou Barris",50,"les Roquetes",620
"2010-2014",8,"Nou Barris",51,"Verdun",571
"2010-2014",8,"Nou Barris",52,"la Prosperitat",1123
"2010-2014",8,"Nou Barris",53,"la Trinitat Nova",497
"2010-2014",8,"Nou Barris",54,"Torre Baró",106
"2010-2014",8,"Nou Barris",55,"Ciutat Meridiana",307
"2010-2014",8,"Nou Barris",56,"Vallbona",100
"2010-2014",9,"Sant Andreu",57,"la Trinitat Vella",269
"2010-2014",9,"Sant Andreu",58,"Baró de Viver",107
"2010-2014",9,"Sant Andreu",59,"el Bon Pastor",517
"2010-2014",9,"Sant Andreu",60,"Sant Andreu",2225
"2010-2014",9,"Sant Andreu",61,"la Sagrera",1165
"2010-2014",9,"Sant Andreu",62,"el Congrés i els Indians",784
"2010-2014",9,"Sant Andreu",63,"Navas",910
"2010-2014",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",1735
"2010-2014",10,"Sant Martí",65,"el Clot",988
"2010-2014",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",623
"2010-2014",10,"Sant Martí",67,"la Vila Olímpica del Poblenou",171
"2010-2014",10,"Sant Martí",68,"el Poblenou",1380
"2010-2014",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",324
"2010-2014",10,"Sant Martí",70,"el Besòs i el Maresme",1035
"2010-2014",10,"Sant Martí",71,"Provençals del Poblenou",696
"2010-2014",10,"Sant Martí",72,"Sant Martí de Provençals",1341
"2010-2014",10,"Sant Martí",73,"la Verneda i la Pau",1453
"2010-2014",99,"No consta",99,"No consta",1308
"2011-2015",1,"Ciutat Vella",1,"el Raval",1757
"2011-2015",1,"Ciutat Vella",2,"el Barri Gòtic",697
"2011-2015",1,"Ciutat Vella",3,"la Barceloneta",911
"2011-2015",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",930
"2011-2015",2,"Eixample",5,"el Fort Pienc",1529
"2011-2015",2,"Eixample",6,"la Sagrada Família",2761
"2011-2015",2,"Eixample",7,"la Dreta de l'Eixample",2680
"2011-2015",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",2230
"2011-2015",2,"Eixample",9,"la Nova Esquerra de l'Eixample",2702
"2011-2015",2,"Eixample",10,"Sant Antoni",1986
"2011-2015",3,"Sants-Montjuïc",11,"el Poble Sec",1779
"2011-2015",3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",88
"2011-2015",3,"Sants-Montjuïc",13,"la Marina de Port",1253
"2011-2015",3,"Sants-Montjuïc",14,"la Font de la Guatlla",643
"2011-2015",3,"Sants-Montjuïc",15,"Hostafrancs",714
"2011-2015",3,"Sants-Montjuïc",16,"la Bordeta",855
"2011-2015",3,"Sants-Montjuïc",17,"Sants - Badal",996
"2011-2015",3,"Sants-Montjuïc",18,"Sants",1986
"2011-2015",4,"Les Corts",19,"les Corts",2128
"2011-2015",4,"Les Corts",20,"la Maternitat i Sant Ramon",958
"2011-2015",4,"Les Corts",21,"Pedralbes",509
"2011-2015",5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",234
"2011-2015",5,"Sarrià-Sant Gervasi",23,"Sarrià",1241
"2011-2015",5,"Sarrià-Sant Gervasi",24,"les Tres Torres",604
"2011-2015",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",1259
"2011-2015",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",2336
"2011-2015",5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",1231
"2011-2015",6,"Gràcia",28,"Vallcarca i els Penitents",760
"2011-2015",6,"Gràcia",29,"el Coll",254
"2011-2015",6,"Gràcia",30,"la Salut",732
"2011-2015",6,"Gràcia",31,"la Vila de Gràcia",2616
"2011-2015",6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",1732
"2011-2015",7,"Horta-Guinardó",33,"el Baix Guinardó",1530
"2011-2015",7,"Horta-Guinardó",34,"Can Baró",447
"2011-2015",7,"Horta-Guinardó",35,"el Guinardó",1685
"2011-2015",7,"Horta-Guinardó",36,"la Font d'en Fargues",482
"2011-2015",7,"Horta-Guinardó",37,"el Carmel",1239
"2011-2015",7,"Horta-Guinardó",38,"la Teixonera",494
"2011-2015",7,"Horta-Guinardó",39,"Sant Genís dels Agudells",435
"2011-2015",7,"Horta-Guinardó",40,"Montbau",556
"2011-2015",7,"Horta-Guinardó",41,"la Vall d'Hebron",266
"2011-2015",7,"Horta-Guinardó",42,"la Clota",28
"2011-2015",7,"Horta-Guinardó",43,"Horta",1461
"2011-2015",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",1398
"2011-2015",8,"Nou Barris",45,"Porta",1191
"2011-2015",8,"Nou Barris",46,"el Turó de la Peira",880
"2011-2015",8,"Nou Barris",47,"Can Peguera",137
"2011-2015",8,"Nou Barris",48,"la Guineueta",844
"2011-2015",8,"Nou Barris",49,"Canyelles",318
"2011-2015",8,"Nou Barris",50,"les Roquetes",612
"2011-2015",8,"Nou Barris",51,"Verdun",551
"2011-2015",8,"Nou Barris",52,"la Prosperitat",1143
"2011-2015",8,"Nou Barris",53,"la Trinitat Nova",524
"2011-2015",8,"Nou Barris",54,"Torre Baró",95
"2011-2015",8,"Nou Barris",55,"Ciutat Meridiana",312
"2011-2015",8,"Nou Barris",56,"Vallbona",106
"2011-2015",9,"Sant Andreu",57,"la Trinitat Vella",275
"2011-2015",9,"Sant Andreu",58,"Baró de Viver",110
"2011-2015",9,"Sant Andreu",59,"el Bon Pastor",535
"2011-2015",9,"Sant Andreu",60,"Sant Andreu",2255
"2011-2015",9,"Sant Andreu",61,"la Sagrera",1218
"2011-2015",9,"Sant Andreu",62,"el Congrés i els Indians",773
"2011-2015",9,"Sant Andreu",63,"Navas",935
"2011-2015",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",1751
"2011-2015",10,"Sant Martí",65,"el Clot",978
"2011-2015",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",622
"2011-2015",10,"Sant Martí",67,"la Vila Olímpica del Poblenou",163
"2011-2015",10,"Sant Martí",68,"el Poblenou",1421
"2011-2015",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",333
"2011-2015",10,"Sant Martí",70,"el Besòs i el Maresme",1006
"2011-2015",10,"Sant Martí",71,"Provençals del Poblenou",736
"2011-2015",10,"Sant Martí",72,"Sant Martí de Provençals",1345
"2011-2015",10,"Sant Martí",73,"la Verneda i la Pau",1469
"2011-2015",99,"No consta",99,"No consta",1434
"2012-2016",1,"Ciutat Vella",1,"el Raval",1697
"2012-2016",1,"Ciutat Vella",2,"el Barri Gòtic",641
"2012-2016",1,"Ciutat Vella",3,"la Barceloneta",924
"2012-2016",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",927
"2012-2016",2,"Eixample",5,"el Fort Pienc",1554
"2012-2016",2,"Eixample",6,"la Sagrada Família",2730
"2012-2016",2,"Eixample",7,"la Dreta de l'Eixample",2672
"2012-2016",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",2247
"2012-2016",2,"Eixample",9,"la Nova Esquerra de l'Eixample",2700
"2012-2016",2,"Eixample",10,"Sant Antoni",1965
